2018-04-23 17:17:09 status unpacked libgpg-error0:arm64 1.17-3
2018-04-23 17:17:09 install liblocale-gettext-perl:arm64 <none> 1.05-8+b2
2018-04-23 17:17:09 status half-installed liblocale-gettext-perl:arm64 1.05-8+b2
2018-04-23 17:17:09 status unpacked liblocale-gettext-perl:arm64 1.05-8+b2
2018-04-23 17:17:09 status unpacked liblocale-gettext-perl:arm64 1.05-8+b2
2018-04-23 17:17:10 install libselinux1:arm64 <none> 2.3-2
2018-04-23 17:17:10 status half-installed libselinux1:arm64 2.3-2
2018-04-23 17:17:10 status unpacked libselinux1:arm64 2.3-2
2018-04-23 17:17:10 status unpacked libselinux1:arm64 2.3-2
2018-04-23 17:17:10 install libsemanage-common:all <none> 2.3-1
2018-04-23 17:17:10 status half-installed libsemanage-common:all 2.3-1
2018-04-23 17:17:10 status unpacked libsemanage-common:all 2.3-1
2018-04-23 17:17:10 status unpacked libsemanage-common:all 2.3-1
2018-04-23 17:17:11 install libsemanage1:arm64 <none> 2.3-1+b2
2018-04-23 17:17:11 status half-installed libsemanage1:arm64 2.3-1+b2
2018-04-23 17:17:11 status unpacked libsemanage1:arm64 2.3-1+b2
2018-04-23 17:17:11 status unpacked libsemanage1:arm64 2.3-1+b2
2018-04-23 17:17:11 install libsepol1:arm64 <none> 2.3-2
2018-04-23 17:17:11 status half-installed libsepol1:arm64 2.3-2
2018-04-23 17:17:12 status unpacked libsepol1:arm64 2.3-2
2018-04-23 17:17:12 status unpacked libsepol1:arm64 2.3-2
2018-04-23 17:17:12 install libtext-charwidth-perl:arm64 <none> 0.04-7+b1
2018-04-23 17:17:12 status half-installed libtext-charwidth-perl:arm64 0.04-7+b1
2018-04-23 17:17:12 status unpacked libtext-charwidth-perl:arm64 0.04-7+b1
2018-04-23 17:17:12 status unpacked libtext-charwidth-perl:arm64 0.04-7+b1
2018-04-23 17:17:12 install libtext-iconv-perl:arm64 <none> 1.7-5+b1
2018-04-23 17:17:12 status half-installed libtext-iconv-perl:arm64 1.7-5+b1
2018-04-23 17:17:13 status unpacked libtext-iconv-perl:arm64 1.7-5+b1
2018-04-23 17:17:13 status unpacked libtext-iconv-perl:arm64 1.7-5+b1
2018-04-23 17:17:13 install libtext-wrapi18n-perl:all <none> 0.06-7
2018-04-23 17:17:13 status half-installed libtext-wrapi18n-perl:all 0.06-7
2018-04-23 17:17:13 status unpacked libtext-wrapi18n-perl:all 0.06-7
2018-04-23 17:17:13 status unpacked libtext-wrapi18n-perl:all 0.06-7
2018-04-23 17:17:13 install lsb-base:all <none> 4.1+Debian13+nmu1
2018-04-23 17:17:13 status half-installed lsb-base:all 4.1+Debian13+nmu1
2018-04-23 17:17:13 status unpacked lsb-base:all 4.1+Debian13+nmu1
2018-04-23 17:17:13 status unpacked lsb-base:all 4.1+Debian13+nmu1
2018-04-23 17:17:14 install dmsetup:arm64 <none> 2:1.02.90-2.2+deb8u1
2018-04-23 17:17:14 status half-installed dmsetup:arm64 2:1.02.90-2.2+deb8u1
2018-04-23 17:17:14 status unpacked dmsetup:arm64 2:1.02.90-2.2+deb8u1
2018-04-23 17:17:14 status unpacked dmsetup:arm64 2:1.02.90-2.2+deb8u1
2018-04-23 17:17:14 install libdevmapper1.02.1:arm64 <none> 2:1.02.90-2.2+deb8u1
2018-04-23 17:17:14 status half-installed libdevmapper1.02.1:arm64 2:1.02.90-2.2+deb8u1
2018-04-23 17:17:14 status unpacked libdevmapper1.02.1:arm64 2:1.02.90-2.2+deb8u1
2018-04-23 17:17:15 status unpacked libdevmapper1.02.1:arm64 2:1.02.90-2.2+deb8u1
2018-04-23 17:17:15 upgrade mawk:arm64 1.3.3-17+b2 1.3.3-17+b2
2018-04-23 17:17:15 status half-configured mawk:arm64 1.3.3-17+b2
2018-04-23 17:17:15 status unpacked mawk:arm64 1.3.3-17+b2
2018-04-23 17:17:15 status half-installed mawk:arm64 1.3.3-17+b2
2018-04-23 17:17:15 status half-installed mawk:arm64 1.3.3-17+b2
2018-04-23 17:17:15 status unpacked mawk:arm64 1.3.3-17+b2
2018-04-23 17:17:15 status unpacked mawk:arm64 1.3.3-17+b2
2018-04-23 17:17:15 install libncurses5:arm64 <none> 5.9+20140913-1+deb8u2
2018-04-23 17:17:15 status half-installed libncurses5:arm64 5.9+20140913-1+deb8u2
2018-04-23 17:17:16 status unpacked libncurses5:arm64 5.9+20140913-1+deb8u2
2018-04-23 17:17:16 status unpacked libncurses5:arm64 5.9+20140913-1+deb8u2
2018-04-23 17:17:16 install libncursesw5:arm64 <none> 5.9+20140913-1+deb8u2
2018-04-23 17:17:16 status half-installed libncursesw5:arm64 5.9+20140913-1+deb8u2
2018-04-23 17:17:16 status unpacked libncursesw5:arm64 5.9+20140913-1+deb8u2
2018-04-23 17:17:16 status unpacked libncursesw5:arm64 5.9+20140913-1+deb8u2
2018-04-23 17:17:17 install libtinfo5:arm64 <none> 5.9+20140913-1+deb8u2
2018-04-23 17:17:17 status half-installed libtinfo5:arm64 5.9+20140913-1+deb8u2
2018-04-23 17:17:17 status unpacked libtinfo5:arm64 5.9+20140913-1+deb8u2
2018-04-23 17:17:17 status unpacked libtinfo5:arm64 5.9+20140913-1+deb8u2
2018-04-23 17:17:17 install ncurses-base:all <none> 5.9+20140913-1+deb8u2
2018-04-23 17:17:17 status half-installed ncurses-base:all 5.9+20140913-1+deb8u2
2018-04-23 17:17:18 status unpacked ncurses-base:all 5.9+20140913-1+deb8u2
2018-04-23 17:17:18 status unpacked ncurses-base:all 5.9+20140913-1+deb8u2
2018-04-23 17:17:18 install ncurses-bin:arm64 <none> 5.9+20140913-1+deb8u2
2018-04-23 17:17:18 status half-installed ncurses-bin:arm64 5.9+20140913-1+deb8u2
2018-04-23 17:17:19 status unpacked ncurses-bin:arm64 5.9+20140913-1+deb8u2
2018-04-23 17:17:19 status unpacked ncurses-bin:arm64 5.9+20140913-1+deb8u2
2018-04-23 17:17:19 install libpam-modules:arm64 <none> 1.1.8-3.1+deb8u2+b1
2018-04-23 17:17:19 status half-installed libpam-modules:arm64 1.1.8-3.1+deb8u2+b1
2018-04-23 17:17:21 status unpacked libpam-modules:arm64 1.1.8-3.1+deb8u2+b1
2018-04-23 17:17:21 status unpacked libpam-modules:arm64 1.1.8-3.1+deb8u2+b1
2018-04-23 17:17:22 install libpam-modules-bin:arm64 <none> 1.1.8-3.1+deb8u2+b1
2018-04-23 17:17:22 status half-installed libpam-modules-bin:arm64 1.1.8-3.1+deb8u2+b1
2018-04-23 17:17:22 status unpacked libpam-modules-bin:arm64 1.1.8-3.1+deb8u2+b1
2018-04-23 17:17:22 status unpacked libpam-modules-bin:arm64 1.1.8-3.1+deb8u2+b1
2018-04-23 17:17:22 install libpam-runtime:all <none> 1.1.8-3.1+deb8u2
2018-04-23 17:17:22 status half-installed libpam-runtime:all 1.1.8-3.1+deb8u2
2018-04-23 17:17:23 status unpacked libpam-runtime:all 1.1.8-3.1+deb8u2
2018-04-23 17:17:23 status unpacked libpam-runtime:all 1.1.8-3.1+deb8u2
